Date,Open,High,Low,,Close,Volume
19-07-2016,99.199997,104.5,99.199997,,97.821556,140708
20-07-2016,102.099998,103,101,,97.390411,37323
21-07-2016,101.699997,103.199997,99.5,,96.192802,45431
22-07-2016,100,104.199997,99.449997,,97.582031,55353
25-07-2016,102.300003,103.699997,98.400002,,95.234711,81706
26-07-2016,99.900002,102.5,98,,94.947266,72419
27-07-2016,100,101.5,95.400002,,93.845459,95906
28-07-2016,98,101.5,96.5,,97.288895,63217
29-07-2016,99.849998,105,98,,99.859322,176925
01-08-2016,104.550003,108.900002,100.300003,,98.986351,205222
02-08-2016,103.099998,103.849998,99.199997,,98.016373,95862
03-08-2016,100.900002,107,98.800003,,100.9748,266962
04-08-2016,105.699997,106.5,100,,98.937851,109124
05-08-2016,106.5,107.199997,99,,97.288895,755953
08-08-2016,101.25,104.349998,100.300003,,100.004829,158660
09-08-2016,103.400002,104.349998,99,,100.635315,292593
10-08-2016,107.550003,110,100.599998,,99.228844,846625
11-08-2016,103,103,99.849998,,98.695358,121406
12-08-2016,102.75,102.75,100.150002,,97.967865,66673
16-08-2016,102.300003,102.949997,100,,97.822372,81297
17-08-2016,101.900002,102.949997,100,,98.501366,55114
18-08-2016,102.199997,107.300003,101.550003,,101.168816,184121
19-08-2016,103.550003,104.5,102.300003,,99.422844,86627
22-08-2016,102.050003,104.650002,101.800003,,100.489807,62940
23-08-2016,102.949997,106,102.300003,,99.810829,57583
24-08-2016,102.5,104.75,102.25,,99.616829,73052
25-08-2016,103.449997,103.5,101.25,,98.986351,43500
26-08-2016,101.300003,102.900002,100.25,,97.62838,31901
29-08-2016,101.150002,101.699997,99.599998,,97.62838,32421
30-08-2016,99.25,101.699997,99.25,,97.77388,51605
31-08-2016,102.099998,117,102,,110.044106,1517171
01-09-2016,114.349998,123.849998,112.25,,116.348961,1384462
02-09-2016,120.199997,129.800003,112.800003,,120.956367,1008902
06-09-2016,126,130.899994,125,,122.896324,501291
07-09-2016,127,127.349998,122,,120.471375,162202
08-09-2016,124.599998,131.449997,122.650002,,126.436752,422355
09-09-2016,131,134,126.599998,,123.914818,270075
12-09-2016,126.699997,126.699997,120.449997,,118.046432,130611
14-09-2016,121.900002,125,120.300003,,120.471375,105703
15-09-2016,124.150002,125.849998,121,,117.94944,97454
16-09-2016,122.5,124.349998,115.650002,,114.603012,149645
19-09-2016,119,121.599998,118.949997,,117.173462,58095
20-09-2016,121.75,125.599998,119,,116.154984,234079
21-09-2016,121.300003,122.349998,118.300003,,115.18499,95058
22-09-2016,121.800003,123.449997,119,,118.967918,93806
23-09-2016,123,124,120.099998,,117.318947,59145
26-09-2016,119.050003,120.099998,117.099998,,114.554504,55166
27-09-2016,117.449997,121,117.449997,,115.524498,64488
28-09-2016,119.400002,124.699997,118.5,,117.658447,212766
29-09-2016,121.599998,126.849998,108.349998,,111.159584,354462
30-09-2016,111.25,120.849998,111.25,,115.47599,104430
03-10-2016,121,122,119.099998,,117.076447,71223
